n_estimators,max_features,train accuracy,train precision,train recall,train f1,validation accuracy,validation precision,validation recall,validation f1,test accuracy,test precision,test recall,test f1
10,1,0.9965473291920789,0.9996975139346068,0.9849478390461996,0.9922678447677837,0.9397292881287079,0.9485691145906948,0.7740685543964233,0.8524266526668643,0.9312424607961399,0.9335548172757475,0.7493333333333333,0.8313609467455622
10,2,0.996999868440788,0.9990967207525152,0.9875558867362146,0.9932903534380344,0.9501879281972284,0.9498379707029786,0.8220566318926975,0.881225153538715,0.9493365500603136,0.9504643962848297,0.8186666666666667,0.8796561604584527
10,4,0.9972512777298684,0.99954765333615,0.9882265275707898,0.9938546735234223,0.955417203294091,0.9451414845150874,0.851564828614009,0.8957521416230106,0.9529553679131484,0.9380530973451328,0.848,0.8907563025210085
10,8,0.9968155127723263,0.9990190075450247,0.9868107302533533,0.9928765743579394,0.9585008299937359,0.9468936622094002,0.8643815201192251,0.9035410643555991,0.9535585042219542,0.9570552147239264,0.832,0.8901569186875892
50,1,0.9999832397553003,1.0,0.9999254843517139,0.9999627352338365,0.9542105442907486,0.9550865911740489,0.8357675111773473,0.8914381041568298,0.9517490952955368,0.945619335347432,0.8346666666666667,0.886685552407932
50,2,0.9999664795106009,1.0,0.9998509687034277,0.9999254704676728,0.9621213687212344,0.9576851546862102,0.8703427719821162,0.9118066505348154,0.9559710494571774,0.9631901840490797,0.8373333333333334,0.8958630527817404
50,4,0.9999497192659014,1.0,0.9997764530551416,0.9998881918122933,0.964266747494066,0.9525906698493175,0.8855439642324889,0.917619333512843,0.9595898673100121,0.9529411764705882,0.864,0.9062937062937063
50,8,0.999932957616555,1.0,0.9997019374068554,0.9998509409353457,0.9648029854609543,0.951876884472785,0.8888226527570791,0.9190544280417894,0.9595898673100121,0.9476744186046512,0.8693333333333333,0.9068150208623088
100,1,1.0,1.0,1.0,1.0,0.9564229022548687,0.9593310253755002,0.842026825633383,0.8968326783642377,0.9529553679131484,0.9513677811550152,0.8346666666666667,0.8892045454545454
100,2,1.0,1.0,1.0,1.0,0.9632612058141803,0.9588393040531334,0.8745156482861403,0.9145935646881671,0.9523522316043426,0.9512195121951219,0.832,0.887624466571835
100,4,0.9999832397553003,1.0,0.9999254843517139,0.9999627352338365,0.9654064947122164,0.9555814382467291,0.8879284649776453,0.9202522843356759,0.9613992762364294,0.9507246376811594,0.8746666666666667,0.9111111111111111
100,8,0.9999832397553003,1.0,0.9999254843517139,0.9999627352338365,0.9649371685305201,0.950143842151674,0.8912071535022354,0.9195213875226192,0.9577804583835947,0.9369627507163324,0.872,0.9033149171270718
200,1,1.0,1.0,1.0,1.0,0.9572274164860932,0.9604270141949524,0.8447093889716839,0.8988250665403996,0.9553679131483716,0.9546827794561934,0.8426666666666667,0.8951841359773371
200,2,1.0,1.0,1.0,1.0,0.9633952091341552,0.9576912030185014,0.8763040238450074,0.915038944680353,0.9547647768395657,0.9573170731707317,0.8373333333333334,0.8933143669985776
200,4,1.0,1.0,1.0,1.0,0.9656075895669742,0.9549915754912522,0.8894187779433681,0.9208222770128467,0.9565741857659831,0.9495548961424333,0.8533333333333334,0.898876404494382
200,8,1.0,1.0,1.0,1.0,0.965272401517446,0.9507294432873495,0.8921013412816692,0.9202776547952075,0.9583835946924005,0.9322033898305084,0.88,0.9053497942386831
