min_samples_leaf,train accuracy,train precision,train recall,train f1,validation accuracy,validation precision,validation recall,validation f1,test accuracy,test precision,test recall,test f1
1,1.0,1.0,1.0,1.0,0.9422769914232483,0.8740565009639856,0.8688524590163935,0.8713533541461279,0.9324487334137516,0.8544474393530997,0.8453333333333334,0.8498659517426274
2,0.9883849748423558,0.950905440598036,1.0,0.9748326553581691,0.9398631566364898,0.8482336729993399,0.8929955290611028,0.8698637333366397,0.9312424607961399,0.830379746835443,0.8746666666666667,0.8519480519480519
5,0.9713562572053108,0.9009884816188624,0.9804769001490314,0.9390322706330443,0.9361091987751863,0.8273996629076018,0.9058122205663188,0.8645685553166789,0.9240048250904704,0.7915690866510539,0.9013333333333333,0.8428927680798005
10,0.9525006757053062,0.8416253964971669,0.9716840536512669,0.9019869946334829,0.9271925855091272,0.7923142500450149,0.9171385991058123,0.8500465307839296,0.9240048250904704,0.7862068965517242,0.912,0.8444444444444444
