f_FPro_class,price,price percal,package_weight,Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Cholesterol,"Fatty acids, total saturated",label
3,3.49,0.00272656,1920.0,0.0,0.0,10.00000002,16.6666667,0.0,0.0,0.0,0.0174999999999999,0.0,0.0,0
3,1.22,0.01014959,150.25235,8.0,1.66666667,4.399999998,12.6666667,0.66666667,0.08666667,0.00024,0.0584999999999999,0.01,2.33333333,0
0,4.96,0.00490415,1360.776,2.02702703,0.0,20.729729768,0.67567568,1.35135135,0.01756757,0.00072973,0.0,0.0,0.0,1
2,5.99,0.00561571,198.4465,32.5,32.5,30.0,12.5,2.5,0.15,0.0025,0.42,0.025,17.5,1
3,1.0,0.00205765,127.57275,12.6984127,5.55555556,88.73015879,4.76190476,3.17460318,0.12380952,0.00228571,0.8126984159999999,0.01587302,3.17460318,0
3,3.29,0.0029375,226.796,7.05479815,28.2191926,62.08222372,0.0,7.05479815,0.03527399,0.00141096,0.617294832,0.0,1.76369954,0
3,11.99,0.01998333,1320.0,6.06060606,0.75757576,6.0000000060000005,1.21212121,0.3030303,0.05151515,0.00145455,0.0916363643999999,0.0,0.3030303,0
3,3.98,0.01638232,1320.0,0.61349693,0.0,4.343558288,3.06748466,0.61349693,0.0,0.00022086,0.3050306745,0.0,0.0,0
3,4.99,0.00606282,425.2425,0.0,16.1290323,6.4516129,3.22580645,0.0,0.0,0.0,0.8680645116,0.0,1.61290323,0
3,4.29,0.04379266,170.097,9.42408377,6.80628272,25.162303657,2.09424084,1.57068063,0.13612565,0.00141361,0.6921989584999999,0.01832461,2.61780105,0
3,1.64,0.00211196,198.4465,4.34782609,0.0,77.39130431299999,26.0869565,4.34782609,0.11304348,0.00469565,0.1199999975999999,0.0,0.0,0
3,4.98,0.00878322,453.592,16.0714286,4.46428571,5.714285712000001,5.35714286,0.0,0.0,0.00064286,0.7735714264000001,0.04464286,1.78571429,0
2,2.88,0.00373184,198.4465,27.7777778,27.7777778,7.222222228000001,0.0,0.0,0.72222222,0.0,0.1633333296,0.08333333,16.6666667,1
3,3.68,0.00115385,765.4365,4.16666667,13.5416667,77.91666663000001,30.2083333,1.04166667,0.0,0.0015,0.4143750039,0.0,4.6875,0
2,13.79,0.00394,708.7375,21.1643944,56.4383852,19.40069494,3.52739907,10.5821972,0.3668495,0.00380959,0.148150758,0.0,3.52739907,1
2,5.29,0.00596082,226.796,21.7391304,30.4347826,0.0,0.0,0.0,0.60869565,0.0,0.7304347785,0.08695652,19.5652174,1
3,6.48,0.004,630.0,5.71428571,5.71428571,27.428571419999997,15.7142857,1.42857143,0.07428571,0.00051429,0.3600000039999999,0.00714286,3.57142857,0
0,4.99,0.0111757,119.0679,12.5,14.5833333,58.3333333,25.0,12.5,0.05416667,0.0125,0.074999997,0.0,0.0,1
3,2.19,0.00724219,453.592,6.66666667,10.0,73.3333333,0.0,0.0,0.0,0.0048,0.756,0.0,0.0,0
0,0.89,0.00219419,439.41725,4.61538462,1.53846154,10.23076922,0.0,4.61538462,0.0,0.001,0.0058461556,0.0,0.0,1
3,5.99,0.00919117,226.796,13.7931035,9.1954023,39.0804598,4.59770115,16.091954,0.1954023,0.00425287,0.484137927,0.0,1.14942529,0
0,0.78,0.00432358,170.097,3.03030303,1.51515152,14.54545456,3.03030303,6.06060606,0.0,0.00109091,0.0509090904,0.0,0.0,1
